ID;Épic;User Story;Critères d'Acceptation;Priorité;Estimation (Points);Sprint;Statut;Assigné à;Notes
;;;;;;;;;;
=== ÉPIC: AUTHENTIFICATION & GESTION DES COMPTES ===;;;;;;;;;
US-001;Authentification;En tant qu'utilisateur, je veux pouvoir me connecter avec mon email et mot de passe afin d'accéder à mon espace personnel;1. Formulaire avec email et mot de passe | 2. Validation des champs obligatoires | 3. Message d'erreur clair si identifiants incorrects | 4. Redirection vers dashboard approprié après connexion;Haute;3;;;☐ À faire ☐ En cours ☐ Terminé;;
US-002;Authentification;En tant qu'utilisateur, je veux pouvoir me déconnecter afin de sécuriser mon compte;1. Bouton de déconnexion visible dans le menu | 2. Confirmation de déconnexion | 3. Redirection vers page de connexion | 4. Token invalidé côté serveur;Haute;2;;;☐ À faire ☐ En cours ☐ Terminé;;
US-003;Inscription;En tant que visiteur, je veux pouvoir créer un compte utilisateur afin d'accéder aux services de réservation;1. Formulaire avec nom, email, mot de passe | 2. Confirmation du mot de passe | 3. Validation format email | 4. Compte actif immédiatement après inscription;Haute;3;;;☐ À faire ☐ En cours ☐ Terminé;;
US-004;Inscription;En tant que gestionnaire potentiel, je veux pouvoir demander un compte manager avec les informations de mon entreprise afin de gérer des ressources;1. Option de sélection type de compte (User/Manager) | 2. Formulaire étendu pour Manager avec infos entreprise | 3. Compte créé en statut "pending" | 4. Message de confirmation indiquant la validation à venir;Haute;5;;;☐ À faire ☐ En cours ☐ Terminé;;
US-005;Inscription;En tant qu'utilisateur, je veux recevoir un message d'erreur clair si mon email est déjà utilisé afin de comprendre pourquoi l'inscription échoue;1. Vérification email en temps réel ou à la soumission | 2. Message explicite "Cet email est déjà utilisé";Moyenne;2;;;☐ À faire ☐ En cours ☐ Terminé;;
US-006;Mot de passe;En tant qu'utilisateur, je veux pouvoir réinitialiser mon mot de passe si je l'ai oublié afin de récupérer l'accès à mon compte;1. Lien "Mot de passe oublié" sur page login | 2. Envoi email avec lien de réinitialisation | 3. Formulaire de nouveau mot de passe | 4. Confirmation du changement;Moyenne;5;;;☐ À faire ☐ En cours ☐ Terminé;;
;;;;;;;;;;
=== ÉPIC: GESTION DES RESSOURCES ===;;;;;;;;;
US-010;Ressources;En tant qu'utilisateur, je veux voir la liste des ressources disponibles afin de choisir celle que je veux réserver;1. Liste avec nom, type, capacité, statut | 2. Indicateur de disponibilité | 3. Image ou icône de la ressource | 4. Chargement rapide;Haute;3;;;☐ À faire ☐ En cours ☐ Terminé;;
